Value	order	sample	domain
9.17894422848369	1	25min	ERD
9.03663634239814	2	25min	ERD
9.16058844746512	3	25min	ERD
9.302681683654555	4	25min	ERD
9.37379247627067	5	25min	ERD
9.385859483913222	6	25min	ERD
9.386646828039789	7	25min	ERD
9.423353689024115	8	25min	ERD
9.535609135845379	9	25min	ERD
9.65093998934831	10	25min	ERD
9.757835993688268	11	25min	ERD
9.845129420166662	12	25min	ERD
9.85977084137923	13	25min	ERD
9.83005655790104	14	25min	ERD
9.9437628253075	15	25min	ERD
10.036315873102758	16	25min	ERD
10.121159008011517	17	25min	ERD
10.188012818327618	18	25min	ERD
10.263701418054392	19	25min	ERD
10.278813325181218	20	25min	ERD
10.33973095084472	21	25min	ERD
10.41222300893744	22	25min	ERD
10.475119842960956	23	25min	ERD
10.523062186059212	24	25min	ERD
10.560316825227236	25	25min	ERD
10.62100892032424	26	25min	ERD
10.671649240689083	27	25min	ERD
10.701434419885132	28	25min	ERD
10.729701461716271	29	25min	ERD
10.751192001251514	30	25min	ERD
10.763427178667646	31	25min	ERD
10.763403658929729	32	25min	ERD
10.783390942511094	33	25min	ERD
10.807508469508983	34	25min	ERD
10.82949199764404	35	25min	ERD
10.865721169328733	36	25min	ERD
10.89670734375899	37	25min	ERD
10.941272100756219	38	25min	ERD
10.995334870625936	39	25min	ERD
11.016858853408445	40	25min	ERD
11.058386572811772	41	25min	ERD
11.101547459857885	42	25min	ERD
11.139991082014559	43	25min	ERD
11.161348704479865	44	25min	ERD
11.188076166463926	45	25min	ERD
11.204619301749982	46	25min	ERD
11.19435622607337	47	25min	ERD
11.200463720243027	48	25min	ERD
11.202204840126802	49	25min	ERD
11.181216927125448	50	25min	ERD
11.151600507628691	51	25min	ERD
11.132431458119756	52	25min	ERD
11.136061183467515	53	25min	ERD
11.13912387143494	54	25min	ERD
11.123182004608699	55	25min	ERD
11.119815498882252	56	25min	ERD
11.135392282430695	57	25min	ERD
11.14541970742921	58	25min	ERD
11.143813391821142	59	25min	ERD
11.134669524512448	60	25min	ERD
11.125551142047568	61	25min	ERD
11.137139827463201	62	25min	ERD
11.1494085092645	63	25min	ERD
11.145879194610574	64	25min	ERD
11.144448045058184	65	25min	ERD
11.150374498618278	66	25min	ERD
11.15494435995879	67	25min	ERD
11.151446387738169	68	25min	ERD
11.12723606649766	69	25min	ERD
11.107900423055709	70	25min	ERD
11.085623051978887	71	25min	ERD
11.056591619004697	72	25min	ERD
11.042937716026413	73	25min	ERD
11.024671945711173	74	25min	ERD
10.992648499536141	75	25min	ERD
10.94567545170647	76	25min	ERD
10.891796176625027	77	25min	ERD
10.849000967117634	78	25min	ERD
10.809407931095972	79	25min	ERD
10.738226443757819	80	25min	ERD
