Value	order	sample	domain
8.441604725002223	1	y3cc	ERD
8.451649412443436	2	y3cc	ERD
8.459034601877415	3	y3cc	ERD
8.468549487583687	4	y3cc	ERD
8.472517147903474	5	y3cc	ERD
8.453597881311635	6	y3cc	ERD
8.460103986227272	7	y3cc	ERD
8.435151634431714	8	y3cc	ERD
8.418860950247629	9	y3cc	ERD
8.416964353668007	10	y3cc	ERD
8.402934699620186	11	y3cc	ERD
8.403894254639424	12	y3cc	ERD
8.423024026369365	13	y3cc	ERD
8.417904743531718	14	y3cc	ERD
8.390367137058215	15	y3cc	ERD
8.382422537770585	16	y3cc	ERD
8.387863975606399	17	y3cc	ERD
8.36826947787348	18	y3cc	ERD
8.34450810878063	19	y3cc	ERD
8.352445077108722	20	y3cc	ERD
8.325061243948399	21	y3cc	ERD
8.281824872763178	22	y3cc	ERD
8.24370682769658	23	y3cc	ERD
8.219592172736045	24	y3cc	ERD
8.200821044045865	25	y3cc	ERD
8.188305162869748	26	y3cc	ERD
8.156420712530403	27	y3cc	ERD
8.139000910269171	28	y3cc	ERD
8.108345173220247	29	y3cc	ERD
8.09702830671543	30	y3cc	ERD
8.089227093107286	31	y3cc	ERD
8.074820151141394	32	y3cc	ERD
8.045420626005372	33	y3cc	ERD
8.024342177094864	34	y3cc	ERD
8.028262261547507	35	y3cc	ERD
8.024925629485189	36	y3cc	ERD
8.000723552348468	37	y3cc	ERD
8.003165728453082	38	y3cc	ERD
8.020858046128899	39	y3cc	ERD
8.042788896020117	40	y3cc	ERD
8.04873355757219	41	y3cc	ERD
8.039241361430003	42	y3cc	ERD
8.023365514299131	43	y3cc	ERD
8.011329117353288	44	y3cc	ERD
8.013523623584641	45	y3cc	ERD
8.016331307889123	46	y3cc	ERD
8.016642881615015	47	y3cc	ERD
8.000515761087648	48	y3cc	ERD
8.007661787829782	49	y3cc	ERD
8.042162884979552	50	y3cc	ERD
8.060070330280734	51	y3cc	ERD
8.044509094051703	52	y3cc	ERD
8.046635170457444	53	y3cc	ERD
8.046724480771527	54	y3cc	ERD
8.042744469847552	55	y3cc	ERD
8.038886218070983	56	y3cc	ERD
8.03957090417781	57	y3cc	ERD
8.044592655612309	58	y3cc	ERD
8.048498222405838	59	y3cc	ERD
8.077694887683663	60	y3cc	ERD
8.106053311299238	61	y3cc	ERD
8.109491300215893	62	y3cc	ERD
8.104688368129686	63	y3cc	ERD
8.12108591812604	64	y3cc	ERD
8.142773638980492	65	y3cc	ERD
8.161109705572116	66	y3cc	ERD
8.14706997900224	67	y3cc	ERD
8.149259449426593	68	y3cc	ERD
8.169421714792499	69	y3cc	ERD
8.192292351275745	70	y3cc	ERD
8.211743597634687	71	y3cc	ERD
8.234627838900403	72	y3cc	ERD
8.248798435055168	73	y3cc	ERD
8.268343664457296	74	y3cc	ERD
8.263592371981346	75	y3cc	ERD
8.262201245346565	76	y3cc	ERD
8.26256627766665	77	y3cc	ERD
8.2548108303149	78	y3cc	ERD
8.25540295035601	79	y3cc	ERD
8.259531199482158	80	y3cc	ERD
8.262698785850285	81	y3cc	ERD
8.29149739767333	82	y3cc	ERD
8.329232139397778	83	y3cc	ERD
8.344739817138562	84	y3cc	ERD
8.367639755057786	85	y3cc	ERD
8.41608557951745	86	y3cc	ERD
8.457916425022024	87	y3cc	ERD
8.491195967503797	88	y3cc	ERD
8.520376639283244	89	y3cc	ERD
8.534533395147223	90	y3cc	ERD
8.559938250192427	91	y3cc	ERD
8.578513028134156	92	y3cc	ERD
8.599884470917452	93	y3cc	ERD
8.60623133327661	94	y3cc	ERD
8.613976438592646	95	y3cc	ERD
8.597763494666726	96	y3cc	ERD
8.58820103034365	97	y3cc	ERD
8.564092609818411	98	y3cc	ERD
8.549295565380316	99	y3cc	ERD
8.512702952426354	100	y3cc	ERD
7.808692172410688	1	y3cc	LRD
7.773989295799409	2	y3cc	LRD
7.754724328872258	3	y3cc	LRD
7.7654731033101525	4	y3cc	LRD
7.771249589671313	5	y3cc	LRD
7.785665006432495	6	y3cc	LRD
7.823709281054274	7	y3cc	LRD
7.871015787931088	8	y3cc	LRD
7.873257682006304	9	y3cc	LRD
7.899145716750326	10	y3cc	LRD
7.912112600631511	11	y3cc	LRD
7.915407746259831	12	y3cc	LRD
7.90252355495841	13	y3cc	LRD
7.897243294998466	14	y3cc	LRD
7.899807831123327	15	y3cc	LRD
7.899762580680991	16	y3cc	LRD
7.917696823043319	17	y3cc	LRD
7.930075675884815	18	y3cc	LRD
7.932944150612139	19	y3cc	LRD
7.9179055276713735	20	y3cc	LRD
7.910974394471724	21	y3cc	LRD
7.912723620007045	22	y3cc	LRD
7.917935174550597	23	y3cc	LRD
7.931438183637038	24	y3cc	LRD
7.960822617709445	25	y3cc	LRD
7.972603104656675	26	y3cc	LRD
7.9821509703589095	27	y3cc	LRD
7.994690123907339	28	y3cc	LRD
8.003032490377777	29	y3cc	LRD
7.998400570098303	30	y3cc	LRD
8.00584307699796	31	y3cc	LRD
8.020187158177084	32	y3cc	LRD
8.026134658504564	33	y3cc	LRD
8.037145588191937	34	y3cc	LRD
8.051871365434335	35	y3cc	LRD
8.062096720418438	36	y3cc	LRD
8.063042792857612	37	y3cc	LRD
8.053393127466512	38	y3cc	LRD
8.047246035823353	39	y3cc	LRD
8.05322654674127	40	y3cc	LRD
8.045124535491675	41	y3cc	LRD
8.032684278849928	42	y3cc	LRD
8.024883596417736	43	y3cc	LRD
8.026501269335993	44	y3cc	LRD
8.031621952669129	45	y3cc	LRD
8.022272385862612	46	y3cc	LRD
8.019846085964893	47	y3cc	LRD
8.01958408230588	48	y3cc	LRD
8.01301647506337	49	y3cc	LRD
8.022849246591635	50	y3cc	LRD
7.999854391823871	51	y3cc	LRD
7.986051480035127	52	y3cc	LRD
7.99891825043874	53	y3cc	LRD
8.011143691437004	54	y3cc	LRD
8.018097045832656	55	y3cc	LRD
8.011551916765695	56	y3cc	LRD
7.9974319289256455	57	y3cc	LRD
7.995609397339503	58	y3cc	LRD
7.995733752716589	59	y3cc	LRD
7.988166817681153	60	y3cc	LRD
7.994179107452809	61	y3cc	LRD
7.995809140760187	62	y3cc	LRD
8.001058059001666	63	y3cc	LRD
8.00922506018315	64	y3cc	LRD
7.995998986111173	65	y3cc	LRD
7.990474584402551	66	y3cc	LRD
7.985779488774301	67	y3cc	LRD
7.980148097657275	68	y3cc	LRD
7.9748359896449035	69	y3cc	LRD
7.97630100314759	70	y3cc	LRD
7.981246501133123	71	y3cc	LRD
7.987675645809812	72	y3cc	LRD
7.999011354160243	73	y3cc	LRD
7.998568612832271	74	y3cc	LRD
7.994004974307581	75	y3cc	LRD
7.988437523262581	76	y3cc	LRD
7.980223669561687	77	y3cc	LRD
7.979908714140601	78	y3cc	LRD
7.987523929755179	79	y3cc	LRD
7.982215349937884	80	y3cc	LRD
7.979989296371704	81	y3cc	LRD
7.971356832869307	82	y3cc	LRD
7.967439858124083	83	y3cc	LRD
7.96419223811149	84	y3cc	LRD
7.973701260738354	85	y3cc	LRD
7.954917753659712	86	y3cc	LRD
7.953933091714047	87	y3cc	LRD
7.950002605025386	88	y3cc	LRD
7.939661195183984	89	y3cc	LRD
7.942503033909452	90	y3cc	LRD
7.939003956955749	91	y3cc	LRD
7.941537488620271	92	y3cc	LRD
7.93993145521003	93	y3cc	LRD
7.938368973644076	94	y3cc	LRD
7.93141460946873	95	y3cc	LRD
7.929271144801831	96	y3cc	LRD
7.92541738256308	97	y3cc	LRD
7.903323266723423	98	y3cc	LRD
7.894239890683957	99	y3cc	LRD
7.789814411726462	100	y3cc	LRD
