Value	order	sample	domain
66.01557693196546	1	15hr	ERD
66.70470596802207	2	15hr	ERD
68.9549958954394	3	15hr	ERD
70.1010557133774	4	15hr	ERD
71.00817256627825	5	15hr	ERD
71.79736495100065	6	15hr	ERD
72.3537782333432	7	15hr	ERD
73.04962548116245	8	15hr	ERD
72.54095070133543	9	15hr	ERD
73.11143201361	10	15hr	ERD
73.88782826009214	11	15hr	ERD
75.0545320037938	12	15hr	ERD
74.76484186750066	13	15hr	ERD
76.32858528832263	14	15hr	ERD
76.74494139618189	15	15hr	ERD
76.03077081957383	16	15hr	ERD
75.32132111160885	17	15hr	ERD
75.89850255086665	18	15hr	ERD
75.8919994592607	19	15hr	ERD
75.77874727382306	20	15hr	ERD
76.1734263402453	21	15hr	ERD
76.35560237185774	22	15hr	ERD
76.86003436882103	23	15hr	ERD
77.32130984388606	24	15hr	ERD
77.94716795912856	25	15hr	ERD
78.12833287996479	26	15hr	ERD
77.74816474107499	27	15hr	ERD
78.28419743242544	28	15hr	ERD
78.28683124349698	29	15hr	ERD
79.1002980528677	30	15hr	ERD
79.57505757101667	31	15hr	ERD
79.92704735367576	32	15hr	ERD
80.3777454793317	33	15hr	ERD
79.86038570014563	34	15hr	ERD
81.04827160145555	35	15hr	ERD
82.01558145539657	36	15hr	ERD
81.5190173839115	37	15hr	ERD
81.71624180557794	38	15hr	ERD
82.01400390177643	39	15hr	ERD
81.11864046897068	40	15hr	ERD
80.79562171499143	41	15hr	ERD
81.25849762004115	42	15hr	ERD
81.83364028504336	43	15hr	ERD
82.39654461460144	44	15hr	ERD
83.61550108690051	45	15hr	ERD
83.23284581302869	46	15hr	ERD
83.22969045075915	47	15hr	ERD
83.288296034465	48	15hr	ERD
82.70311750720629	49	15hr	ERD
82.86488468489713	50	15hr	ERD
83.95348809965846	51	15hr	ERD
83.94578992310593	52	15hr	ERD
84.38909393152147	53	15hr	ERD
84.20869989097176	54	15hr	ERD
84.91391230957707	55	15hr	ERD
85.04875044843777	56	15hr	ERD
84.9115428423589	57	15hr	ERD
84.84187795370453	58	15hr	ERD
85.49945533505922	59	15hr	ERD
85.21322691090532	60	15hr	ERD
85.00335585747617	61	15hr	ERD
85.1548333086636	62	15hr	ERD
85.42059787004065	63	15hr	ERD
84.60749066278518	64	15hr	ERD
85.13479743547167	65	15hr	ERD
84.77827411021198	66	15hr	ERD
84.92301595039568	67	15hr	ERD
85.3923196255915	68	15hr	ERD
86.14130762172321	69	15hr	ERD
86.43096315258634	70	15hr	ERD
86.36086895401723	71	15hr	ERD
87.427119385690645	72	15hr	ERD
87.96388027512121	73	15hr	ERD
88.52921147673592	74	15hr	ERD
89.35064783300685	75	15hr	ERD
89.70047935957739	76	15hr	ERD
89.99652473424179	77	15hr	ERD
90.79112910233071	78	15hr	ERD
90.55503959836214	79	15hr	ERD
90.121165079193	80	15hr	ERD
90.48002566499764	81	15hr	ERD
90.37367067810503	82	15hr	ERD
89.88993061731797	83	15hr	ERD
91.62553769287292	84	15hr	ERD
91.73560650960451	85	15hr	ERD
91.78567152385641	86	15hr	ERD
92.403355596869	87	15hr	ERD
92.39156094276142	88	15hr	ERD
92.68580904531922	89	15hr	ERD
91.69439983638232	90	15hr	ERD
92.4647877654913	91	15hr	ERD
92.41339531468664	92	15hr	ERD
92.9918594290635	93	15hr	ERD
92.9731705057087	94	15hr	ERD
93.73243383124517	95	15hr	ERD
93.2530871389286	96	15hr	ERD
92.4293875400861	97	15hr	ERD
92.90856881002661	98	15hr	ERD
93.10388089402127	99	15hr	ERD
92.7233213259396	100	15hr	ERD
93.96379807975495	101	15hr	ERD
94.37672809787394	102	15hr	ERD
94.18596849716369	103	15hr	ERD
93.90697068391968	104	15hr	ERD
93.6114185235803	105	15hr	ERD
93.23314643783253	106	15hr	ERD
92.26017971076301	107	15hr	ERD
91.99313602210485	108	15hr	ERD
92.01615322659427	109	15hr	ERD
92.50571019983477	110	15hr	ERD
92.96660757706763	111	15hr	ERD
92.92247444119165	112	15hr	ERD
92.75485022096971	113	15hr	ERD
92.49993931650876	114	15hr	ERD
91.2949284037607	115	15hr	ERD
92.26140118934543	116	15hr	ERD
91.22566624564892	117	15hr	ERD
91.42515738747568	118	15hr	ERD
91.53283267816676	119	15hr	ERD
91.23186599292548	120	15hr	ERD
90.97891326568056	121	15hr	ERD
91.35333057235306	122	15hr	ERD
91.40154828560662	123	15hr	ERD
90.98207568808833	124	15hr	ERD
91.45657617829917	125	15hr	ERD
91.03507702960174	126	15hr	ERD
90.4055619774673	127	15hr	ERD
89.21639882075773	128	15hr	ERD
88.59852364348515	129	15hr	ERD
88.09815161201699	130	15hr	ERD
88.28241458211973	131	15hr	ERD
87.93317035436587	132	15hr	ERD
87.56442136738715	133	15hr	ERD
87.12600293188389	134	15hr	ERD
87.29082761507694	135	15hr	ERD
86.59391234158346	136	15hr	ERD
